Id,SalePrice
2658,165347.97281964542
2718,140774.22161164013
2414,222939.26829907706
1989,114589.45351337346
625,171252.3420730775
333,87398.6804351946
1327,107703.79374281487
858,139771.31060921866
95,168990.4696367794
1568,179563.63964009998
2482,151046.82441043612
1364,121501.08821799043
2584,142029.46852451903
818,334774.2648980332
2673,144110.4944456925
2089,125990.84379786668
1297,147002.870487211
790,107458.86225410634
2616,194753.24298425665
720,187050.86090502888
222,159757.92104099644
557,131279.42056250994
1148,182272.74634864213
2766,189676.31824951887
534,179216.07421646122
1452,121928.7718349256
630,114577.59166312405
2648,100708.3607526361
125,168798.70113256306
1904,80651.98229561886
1670,104601.42219395605
756,88872.60418868808
717,221235.47470803294
1032,149695.56497399247
852,204262.28829931052
1731,185743.55988690435
2639,118232.4245033661
2071,102381.50769577707
1267,156949.71463818647
1851,197335.64943880605
567,158889.85925679127
2439,207226.4958950286
1898,144906.95343898743
647,160830.01492866172
2256,194077.16929021865
979,88743.87385230314
1444,223012.64059193688
2485,130825.98821031873
157,129693.99908807487
88,113351.39585557306
2003,107395.34330393256
186,227795.17108678675
1425,230368.32695237114
2695,117438.74643892069
738,98830.71110186967
395,173222.67791822593
1353,174391.70107300926
1878,132930.4965569168
390,162143.21655003005
1456,231089.87763880854
1103,281935.36977891484
1387,128862.67702161826
2070,161198.31462777103
1199,164418.72953817205
2479,164320.3893967793
501,317197.24442320963
2362,96212.79753559154
1718,179707.2904212442
2188,85460.5138967528
1483,153890.16346824754
2557,100485.24623905473
437,375196.1517458291
2224,211234.6724372736
1628,183094.89179092328
397,149119.13815181365
587,170837.91786350965
971,141421.46869875203
2611,132028.92141576958
1887,111449.41853358703
2399,335247.4233885321
2148,202321.73827509975
304,100795.13610971533
1997,111309.33487104591
2817,121994.7715627586
1431,213429.30573192824
427,294459.1658452304
263,133271.3455606835
598,159030.56020587648
2895,231358.9931577705
687,142620.08845697538
1822,132656.5570213347
2191,105516.43760788931
179,134699.0098706028
1009,214901.69688658798
2010,140865.19232094384
1991,129155.9607442583
1411,127904.44358157946
1721,215290.48783969498
1144,183831.77184140196
593,214669.26361646422
575,285186.9839996813
1249,165912.02483157135
1604,128753.19438273349
1064,383714.30390809005
1923,154978.96294333675
1988,107325.61327915778
2325,170671.13190386406
114,198003.44745096794
2700,155184.88984431286
217,118750.7870898293
343,183466.61775085024
386,232114.30718427463
2005,115632.90825123711
2908,143054.92576091483
1814,218690.96060661582
2446,525345.5659091126
208,129162.50050238674
1679,106714.22679723898
822,283304.15278453124
6,194035.06671304855
1781,335331.5155376943
2397,272806.66584755195
2340,304916.8487348017
1618,170362.40475386046
2843,121210.68593498309
1061,357568.6400864897
2786,134175.37784250817
1935,139263.54021889233
1341,125484.8342051519
521,283065.2972849338
2136,144873.6298914393
996,193659.39768756385
227,150379.5950793217
135,174694.04639576795
1167,167646.2171676801
294,227828.91215481286
1776,210448.291491151
540,178922.9224130682
